artists,popularity
Enigma,39
Peter Sterling,20
Karunesh,41
Emile Pandolfi,21
Emile Pandolfi,21
Will Ackerman,21
Stive Morgan,38
Thad Fiscella,20
Dean Evenson;Li Xiangting;Phil Heaven,22
2002,20
Barbara Higbie,20
Gomer Edwin Evans,20
Will Ackerman,21
Thad Fiscella,20
Peter Kater;Michael Brant DeMaria,20
Emile Pandolfi;The City of Prague Philharmonic Orchestra,21
Dan Gibson's Solitudes,20
Lesiem,20
Ken Davis,21
Dan Gibson's Solitudes,20
Dan Gibson's Solitudes,20
Paul Cardall,20
Dan Gibson's Solitudes,20
Dan Gibson's Solitudes,21
Dan Gibson's Solitudes,20
Dan Gibson's Solitudes,20
Tony O'Connor,21
Mike Rowland,21
Ronan Hardiman,21
Jim Brickman,54
Dan Gibson's Solitudes,21
Paul Cardall,20
Gomer Edwin Evans,20
Aine Minogue,21
Secret Garden;Cathrine Iversen,22
Paul Cardall,20
Andreas Vollenweider;Walter Keiser,21
Paul Cardall,20
Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Matthias Ziegler;Steve Gorn,21
Tony O'Connor,21
Conjure One;Rhys Fulber,42
Laura Sullivan,15
Yiruma,43
Yiruma,43
Ad Dios,20
Jim Brickman,47
Scott Cossu,20
Laura Sullivan,41
Deep Forest;Márta Sebestyén,44
Jane Leslie,20
Jim Brickman,20
Bernward Koch,50
Bernward Koch,50
David Lanz;Eric Tingstad;Nancy Rumbel,20
Craig Urquhart,20
Kevin Kern,46
William Ellwood,20
Patrick Kelly,20
Yanni,39
Jon Schmidt,20
Brian Crain,19
Helen Jane Long,19
Kevin Kern,45
Jim Brickman,20
George Skaroulis,19
Patrick O'Hearn,21
Jeremy Weinglass,21
Yanni,35
Jim Brickman,20
Jim Brickman,20
Mike Oldfield,22
Kevin Kern,20
Jim Brickman,19
Ann Sweeten,20
Michael Gettel,20
Gary Stadler;Stephannie,20
Dan Gibson's Solitudes,20
Jim Brickman,19
Dan Gibson's Solitudes,20
Deuter,21
Jim Brickman,54
Dan Gibson's Solitudes,20
George Skaroulis,19
Brian Crain,20
Dan Gibson's Solitudes,20
George Winston,20
Tony O'Connor,20
Ronan Hardiman,21
George Winston,20
George Winston,20
Yiruma;Caterina Barontini,38
Yiruma,43
Enigma,37
Yiruma,37
David Arkenstone,36
David Wahler,20
Yanni,23
Karunesh,31
Kamal,20
Back to Earth,20
Thad Fiscella,20
Sean Harkness,20
Parijat,51
Mike Rowland,20
David Arkenstone,21
Gregorian,20
Michael Whalen,20
Yanni,28
Will Ackerman,20
Peter Kater;Michael Brant DeMaria,20
David Arkenstone,21
Gomer Edwin Evans,21
2002,20
Nightnoise,20
Yiruma,44
Dan Gibson's Solitudes,20
Hennie Bekker,20
Mike Oldfield,22
Méav,21
Mike Rowland,20
Dan Gibson's Solitudes,20
Dan Gibson's Solitudes,20
Peter Kater,20
Dan Gibson's Solitudes,20
Dan Gibson's Solitudes,20
Robert Haig Coxon,20
John Doan,21
Dan Gibson's Solitudes,20
Paul Cardall,20
Dan Gibson's Solitudes,20
Dan Gibson's Solitudes,20
ERA,20
Paul Cardall,19
Mike Oldfield,22
Mike Rowland,20
Paul Cardall,20
Tony O'Connor,20
Tony O'Connor,20
Clannad;Phil Mison,21
Clannad,21
B-Tribe,46
Jacob's Piano,39
Shastro,35
Shastro,30
Conjure One;Rhys Fulber,38
Omar Akram,44
Jacob's Piano,40
William Joseph,44
Laura Sullivan,43
Jim Brickman,19
Bernward Koch,50
Queen Latifah,23
Jim Brickman,19
Jim Brickman,19
Mike Oldfield,21
Emile Pandolfi,20
Ryan Stewart,19
Jim Brickman,19
Rhonda Mackert,20
Jim Brickman,19
Tim Story,20
George Skaroulis,20
Denean,44
Will Ackerman;Jeff Oster;Tom Eaton,20
George Skaroulis,19
Jim Brickman,19
Jon Schmidt,20
Jim Brickman,19
Kathryn Toyama,19
Constance Demby,20
Llewellyn,20
Méav,20
Helen Jane Long,19
Helen Jane Long,19
Lisa Lynne,21
Will Ackerman,20
Deuter,20
Dean Evenson;Li Xiangting,21
Will Ackerman,20
Mike Oldfield,21
Jim Brickman,19
Phil Coulter;Brian Kennedy;Paul Byrom,20
Medwyn Goodall,20
Will Ackerman,20
Karen Marie Garrett;Desiree Goyette,20
Dan Gibson's Solitudes,20
Tony O'Connor,20
Clannad,20
Tony O'Connor,20
Tony O'Connor,20
Josh Groban,61
Andrea Bocelli;Chris Botti,26
Josh Groban;London Symphony Orchestra,1
Andrea Bocelli,0
Andrea Bocelli,0
Andrea Bocelli;Reba McEntire,0
Andrea Bocelli,0
Giacomo Puccini;Arioso Quartett Wien,0
Josh Groban;Brian McKnight;London Symphony Orchestra,1
Andrea Bocelli;Reba McEntire,0
Andrea Bocelli;Giorgia,0
Andrea Bocelli;Reba McEntire,0
Philharmonia Orchestra;Charles Dutoit,0
Josh Groban;Brian McKnight;London Symphony Orchestra,0
Josh Groban;Brian McKnight;London Symphony Orchestra,0
Luciano Pavarotti;National Philharmonic Orchestra;Kurt Herbert Adler,0
Josh Groban;Brian McKnight;London Symphony Orchestra,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Nightwish,1
Il Volo,0
Josh Groban;Brian McKnight;London Symphony Orchestra,0
Giacomo Puccini;Renée Fleming;English Chamber Orchestra;Jeffrey Tate,1
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Il Volo,0
Il Volo,0
Il Volo,0
Il Volo,0
Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,0
Il Volo,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Il Volo,0
Il Volo,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Georges Bizet;Francesco Verzillo;Danilo Dellepiane,0
Richard Wagner;Otto Klemperer,0
Jean-Philippe Rameau;Pavel Nersessian,0
Giacomo Puccini;Luciano Pavarotti;The John Alldis Choir;Wandsworth School Boys Choir;London Philharmonic Orchestra;Zubin Mehta,0
Gioachino Rossini;Cecilia Bartoli;Orchestra del Teatro Comunale di Bologna;Giuseppe Patanè,0
Georges Bizet;Francesco Verzillo;Danilo Dellepiane,0
Giuseppe Verdi;Vincenzo Ciliberti,0
Giuseppe Verdi;Chicago Symphony Chorus;Chicago Symphony Orchestra;Sir Georg Solti,0
Giuseppe Verdi;Mariinsky Chorus;Mariinsky Orchestra;Valery Gergiev,0
Jean-Philippe Rameau;Pavel Nersessian,0
Gioachino Rossini;National Philharmonic Orchestra;Richard Bonynge,0
Andrea Bocelli;Jennifer Lopez,55
Dimash Qudaibergen,55
Andrea Bocelli,67
Andrea Bocelli,61
André Rieu;Johann Strauss Orchestra,48
Órla Fallon,36
Nightwish,56
Andrea Bocelli,51
Celtic Woman,52
Il Volo,34
Jean-Philippe Rameau;Víkingur Ólafsson,64
Celtic Woman,55
Jacques Offenbach;Helmuth Brandenburg,57
Nightwish,59
Filippa Giordano,31
Giuseppe Verdi;Luciano Pavarotti;London Symphony Orchestra;Richard Bonynge,56
Jules Massenet;Nicola Benedetti;London Symphony Orchestra;Daniel Harding,47
Jean-Philippe Rameau;Víkingur Ólafsson,54
Giuseppe Verdi;Ileana Cotrubas;Plácido Domingo;Chor der Bayerischen Staatsoper München;Bavarian State Orchestra;Carlos Kleiber,56
Maire Brennan,34
Giuseppe Verdi;Quatuor Zaïde,36
Jacques Offenbach;Nemanja Radulović;Camille Thomas;Double Sens,34
Francesco Cavalli;Théophile Alexandre;Quatuor Zaïde,36
Kiri Te Kanawa;Luise Edeiken;Angelina Reaux;Stella Zambalis;Leonard Bernstein,0
Michael Ball;Alfie Boe,0
Jules Massenet;Michel Schwalbé;Berliner Philharmoniker;Herbert von Karajan,0
Charles Gounod;石丸由佳,0
Michael Ball,0
Michael Ball,0
Michael Ball,0
Michael Ball,0
Pietro Mascagni;Vincenzo Ciliberti,0
Michael Ball,0
Vincenzo Bellini;Cecilia Bartoli;James Levine,0
Charles Gounod;Johann Sebastian Bach;Gerhard Schmidt-Gaden;Anneliese Rothenberger;Symphonie-Orchester Graunke;Tölzer Knabenchor,0
Jean-Baptiste Lully;Clément Debieuvre;Davy Cornillot;David Witczak;Ensemble Leviathan;Lucile Tessier,0
Charles Gounod;Boston Symphony Orchestra;Seiji Ozawa,0
Pietro Mascagni;Vincenzo Ciliberti,0
Elaine Paige,0
Gaetano Donizetti;Vincenzo Ciliberti,0
Vincenzo Bellini;Joan Sutherland;London Symphony Chorus;London Symphony Orchestra;Richard Bonynge,0
Pietro Mascagni;Julia Varady;The London Opera Chorus;National Philharmonic Orchestra;Gianandrea Gavazzeni,0
Vincenzo Bellini;Luciano Pavarotti;Joan Sutherland;Marilyn Horne;New York City Opera Orchestra;Richard Bonynge,0
Gaetano Donizetti;Vincenzo Ciliberti,0
Gaetano Donizetti;Luciano Pavarotti;English Chamber Orchestra;Richard Bonynge,0
Pietro Mascagni;Vincenzo Ciliberti,0
"Charles Gounod;Orchestra of the Royal Opera House, Covent Garden;Sir Alexander Gibson",0
Gaetano Donizetti;Vincenzo Ciliberti,0
José Carreras,0
Gaetano Donizetti;Vincenzo Ciliberti,0
André Rieu;Carmen Monarcha;Mirusia Louwerse;Suzan Erens;The Platin Tenors,45
Andrea Bocelli;Édith Piaf,57
Nightwish,60
Celtic Woman,54
Andrea Bocelli,58
Dimash Qudaibergen;Igor Krutoy,49
Nightwish,51
Il Volo,30
Andrea Bocelli;Giorgia,65
Secret Garden,54
Giacomo Puccini;HAUSER;Robert Ziegler;London Symphony Orchestra,51
Secret Garden,55
Secret Garden,58
Léo Delibes;Razumovsky Symphony Orchestra;Andrew Mogrelia,58
Georges Bizet;Orquestra Simfònica de Barcelona i Nacional de Catalunya;Pablo González,60
Amilcare Ponchielli;Staatskapelle Dresden;Silvio Varviso,56
Giuseppe Verdi;Carmen Giannattasio;Veronica Simeoni;Alxander Timchenko;Carlo Colombara;Yuri Temirkanov;St. Petersburg Philharmonic Orchestra,55
Alessandro Safina,30
Secret Garden,57
Nightwish,58
Alessandro Safina,30
Il Volo,29
André Rieu;Johann Strauss Orchestra,55
André Rieu;Johann Strauss Orchestra,30
Giorgia Fumanti,28
Jacques Offenbach;Quatuor Zaïde,31
Giacomo Puccini;Luciano Pavarotti;John Alldis Choir;Wandsworth School Boys Choir;London Philharmonic Orchestra;Zubin Mehta,61
Adolphe Adam;Rolando Villazón;Xavier De Maistre,0
Georges Bizet;Luciano Pavarotti;Vienna Volksoper Orchestra;Leone Magiera,30
Adolphe Adam;Rolando Villazón;Xavier De Maistre,0
El Cuervo de Poe,31
Celtic Woman,28
Adolphe Adam;Rolando Villazón;Xavier De Maistre,0
Adolphe Adam;Wiener Sängerknaben;Friar Alessandro;Schubert-Akademie;Gerald Wirth,0
Adolphe Adam;phil Blech Wien;Anton Mittermayr;Piotr Beczala,0
Giuseppe Verdi;Théophile Alexandre;Quatuor Zaïde,29
Adolphe Adam;phil Blech Wien;Anton Mittermayr;Piotr Beczala,0
Adolphe Adam;Wiener Sängerknaben;Aida Garifullina;Schubert-Akademie;Gerald Wirth,0
"Léo Delibes;Orchestra of the Royal Opera House, Covent Garden;Mark Ermler",29
Adolphe Adam;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;Apollo Voices;Graham Foote,0
Adolphe Adam;Luciano Pavarotti;National Philharmonic Orchestra;Kurt Herbert Adler,0
Adolphe Adam;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;Apollo Voices;Graham Foote,0
Hayley Westenra,29
Adolphe Adam;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;Apollo Voices;Graham Foote,0
Sarah Brightman,29
Sissel,31
Giacomo Puccini;Rolando Panerai;Gianni Maffeo;Luciano Pavarotti;Mirella Freni;Schöneberger Sängerknaben;Chor der Deutschen Oper Berlin;Berliner Philharmoniker;Herbert von Karajan,29
Malena Ernman;Så som i Himmelen Ensemblen,29
Giacomo Puccini;Michel Sénéchal;Rolando Panerai;Luciano Pavarotti;Nicolai Ghiaurov;Gianni Maffeo;Berliner Philharmoniker;Herbert von Karajan,29
Elaine Paige,0
Luciano Pavarotti;Bryan Adams,47
Josh Groban,55
Celtic Woman,52
Secret Garden,41
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,35
Giacomo Puccini;Freddie De Tommaso;Apollo Voices;Philharmonia Orchestra;Paolo Arrivabeni,45
Sarah Brightman;Vincent Niclo,26
André Rieu,55
André Rieu;Johann Strauss Orchestra,54
Ernesto Cortazar,51
Andrea Bocelli;Matteo Bocelli,56
Lara Fabian,28
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Malena Ernman,26
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
André Rieu,27
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Richard Wagner;London Symphony Orchestra;Yondani Butt,49
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Bernward Koch,27
Bernward Koch,27
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Josh Groban;Kelly Clarkson,55
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0
Emma Kirkby;David Thomas;Anthony Rooley;Trevor Jones,0
Celtic Thunder;Ryan Kelly,28
Giacomo Puccini;Renée Fleming;London Philharmonic Orchestra;Sir Charles Mackerras,48
Josh Groban,26
Il Divo;Céline Dion,54
Charles Gounod;Yo-Yo Ma,59
Rolando Villazón;Wiener Sängerknaben;Schubert Akademie;Gerald Wirth,0
Avantasia,49
Alfie Boe,27
"Léo Delibes;Orchestra of the Royal Opera House, Covent Garden;Mark Ermler",28
Il Volo,28
Nightwish,60
Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Nicolai Ghiaurov;Gianni Maffeo;Berliner Philharmoniker;Herbert von Karajan,29
Nightwish,30
Giacomo Puccini;Luciano Pavarotti;Nicolai Ghiaurov;Mirella Freni;Gianni Maffeo;Gernot Pietsch;Schöneberger Sängerknaben;Chor der Deutschen Oper Berlin;Berliner Philharmoniker;Herbert von Karajan,28
Il Divo,27
Pietro Mascagni;National Philharmonic Orchestra;Gianandrea Gavazzeni,29
Giuseppe Verdi;Wiener Philharmoniker;Carlo Rizzi,28
Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,28
Giuseppe Verdi;Riccardo Muti;Plácido Domingo;New Philharmonia Orchestra,28
Andrea Bocelli,48
Andrea Bocelli;Dua Lipa,52
Danny Wright,52
Lim Hyung Joo,40
Dimash Qudaibergen,32
Andrea Bocelli;Ed Sheeran,52
Andrea Bocelli;Ellie Goulding,51
Susan Boyle,52
RyanDan,44
Andrea Bocelli,26
Nightwish,58
Andrea Bocelli,26
Andrea Bocelli,26
Andrea Bocelli;Orchestra Sinfonica di Milano Giuseppe Verdi;Steven Mercurio,27
Josh Groban,25
Nightwish,52
Amaury Vassili,25
Georges Bizet;Orquestra Simfònica de Barcelona i Nacional de Catalunya;Pablo González,55
Il Volo,26
Il Divo,25
Georges Bizet;Katia Labèque;Marielle Labèque,51
Il Volo,26
Andrea Bocelli,26
Il Divo,25
Collabro,25
Celtic Thunder,26
Celtic Thunder;Keith Harkin,26
Il Volo,26
Mario Frangoulis;Daniel May,26
Plácido Domingo,24
Il Divo,25
Josh Groban,26
Giuseppe Verdi;Maria Callas;Nicola Rescigno;Orchestre De La Société Des Concerts Du Conservatoire,27
Celtic Thunder;Emmet Cahill,25
"Gaetano Donizetti;Luciano Pavarotti;Orchestra of the Royal Opera House, Covent Garden;Richard Bonynge",26
Epica;Roy Khan,25
Filippa Giordano,26
Giacomo Puccini;Kiri Te Kanawa;London Symphony Orchestra;Stephen Barlow,27
Celtic Woman,25
Il Divo,26
Alberto Urso,27
Alfredo Catalani;Cristina Gallardo-Domas;Maurizio Barbacini;Das Münchner Rundfunkorchester;Munich Radio Orchestra,27
Kathleen Battle;Dawn Upshaw;Luciano Pavarotti;Metropolitan Opera Chorus;David Stivender;Metropolitan Opera Orchestra;James Levine,0
Giacomo Puccini;Luciano Pavarotti;National Philharmonic Orchestra;Nicola Rescigno,27
Giacomo Puccini;Luciano Pavarotti;Gianni Maffeo;Nicolai Ghiaurov;Rolando Panerai;Michel Sénéchal;Elizabeth Harwood;Schöneberger Sängerknaben;Chor der Deutschen Oper Berlin;Berliner Philharmoniker;Herbert von Karajan,27
Giuseppe Verdi;Renato Cellini;RCA Victor Orchestra,26
Hayley Westenra,26
Giacomo Puccini;Rolando Panerai;Mirella Freni;Gianni Maffeo;Nicolai Ghiaurov;Luciano Pavarotti;Berliner Philharmoniker;Herbert von Karajan,27
"Vincenzo Bellini;Maria Callas;Coro Del Teatro Alla Scala Di Milano;Tullio Serafin;Orchestra Del Teatro Alla Scala, Milano",27
Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,26
Andrea Bocelli;Jennifer Lopez,51
Georges Bizet;Orchestre de Paris;Semyon Bychkov,51
Lara Fabian,57
Léo Delibes;Slovak Philharmonic;Ondrej Lenard,53
Dimash Qudaibergen,41
Giacomo Puccini;Arranged By;Dick Hyman;Moe Koffman,51
Sol3 Mio;The Haines Strings Octet,24
Andrea Bocelli,24
André Rieu;Johann Strauss Orchestra;Stéphanie Detry,53
Josh Groban,24
Andrea Bocelli,24
Il Volo,25
Philharmonia Orchestra;Suzannah Bee,25
Nana Mouskouri,24
Leo Nucci;Salotto Ottocento Ensemble,25
Sissel,25
Josh Groban,24
Andrea Bocelli;David Foster,53
Órla Fallon,25
Giuseppe Verdi;Maria Dragoni;Kristjan Johannsson;Barbara Dever;Mark Rucker;Francesco Ellero d' Artegna;Riccardo Ferrari;Antonio Marcenò;Monica Trini;Colin Mawby;RTÉ Philharmonic Choir;RTE Chamber Choir;Culwick Choral Society;Bray Choral Society;Dublin County Choir;Dun Laoghaire Choral Society;Cantabile Singers;Goethe Institut Choir;Musica Sacra;The Phoenix Singers;RTÉ National Symphony Orchestra;Irish Army No. 1 Band;Ricco Saccani,50
Il Volo,25
Malena Ernman;Sarah Dawn Finer,24
Josh Groban;Laura Pausini,24
Giacomo Puccini;Kiri Te Kanawa;National Philharmonic Orchestra;Sir Georg Solti,25
Andrea Bocelli;Marco Borsato,25
Josh Groban,25
Michael Ball;Alfie Boe,25
Beniamino Gigli,25
Andrea Bocelli,25
Georges Bizet;Orchestre Philharmonique De Strasbourg;Marko Letonja,26
Collabro,25
Filippa Giordano;Jesús Navarro,24
Giacomo Puccini;Carlo Bergonzi;Orchestra dell'Accademia Nazionale di Santa Cecilia;Tullio Serafin,25
Lara Fabian,25
Epica,26
Giorgia Fumanti,24
Il Volo,24
Celtic Thunder,25
Georges Bizet;Choeur Les Elements;Orchestre National Du Capitole De Toulouse;Michel Plasson;Wolff,26
Giacomo Puccini;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,26
Andrea Bocelli,25
José Carreras;Plácido Domingo;Luciano Pavarotti;Orchestra Del Teatro Dell'Opera Di Roma;Orchestra del Maggio Musicale Fiorentino;Zubin Mehta,24
Giacomo Puccini;Rolando Panerai;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,25
Georges Bizet;Nicolas Rivenq;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,26
Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Elizabeth Harwood;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan,25
Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan,25
Georges Bizet;Maria Callas;Nicolai Gedda;Orchestre de l'Opéra National de Paris;Georges Prêtre;Orchestre du Théâtre National de l'Opéra Paris;Paris Opera Orchestra,26
Giuseppe Verdi;Riccardo Muti;Plácido Domingo;New Philharmonia Orchestra,25
"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Fiorenza Cossotto;Luigi Roni;Montserrat Caballé;Nicola Martinucci;Nicolai Ghiaurov;Plácido Domingo;New Philharmonia Orchestra",25
"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Fiorenza Cossotto;Luigi Roni;Montserrat Caballé;Nicolai Ghiaurov;Plácido Domingo;New Philharmonia Orchestra",26
Dimash Qudaibergen,46
Léo Delibes;Richard Kapp,48
Dimash Qudaibergen,41
Il Volo,25
Órla Fallon,0
Epica,54
Sol3 Mio,24
André Rieu;Johann Strauss Orchestra,53
Katherine Jenkins;Kiri Te Kanawa;Philharmonia Orchestra;Anthony Inglis,53
Nightwish,58
Il Volo,24
Georges Bizet;Philharmonia Cassovia;Alfred Walter,35
Andreas Scholl,25
Josh Groban;Herbie Hancock,24
Il Divo,24
Roberto Alagna;Bruno Pelletier,23
Alessandro Scarlatti;Arsenale Sonoro;Ludovico Minasi;Cristina Vidoni;Alexandra Koreneva,24
Michael Ball;Alfie Boe,25
Celtic Woman,24
Diablo Swing Orchestra,24
Jean-Baptiste Lully;Chœur De Chambre De Namur;Millenium Orchestra;Cappella Mediterranea;Leonardo García-Alarcón;Sophie Junker;Judith van Wanroij;Matthias Vidal;Thibaut Lenaerts;Alain Buet,25
Celtic Thunder;Ryan Kelly,24
Michael Ball,24
Andrea Bocelli,24
Celtic Thunder,24
Collabro,24
Luciano Pavarotti;Zucchero,23
Richard Wagner;Bavarian Radio Symphony Orchestra;Eugen Jochum,24
Michael Ball;Alfie Boe,24
Michael Ball;Alfie Boe,24
Charles Gounod;Kana Omori;Yurika Kimura;Riho Yamaji,25
Giorgia Fumanti,24
Amira Willighagen;Corlea,24
Richard Wagner;Budapest Symphony Orchestra;György Lehel,53
Giacomo Puccini;Il Volo;Plácido Domingo,25
Celtic Thunder,24
Vienna State Opera Chorus;Wiener Philharmoniker;Sir Georg Solti,23
Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Gianni Maffeo;Nicolai Ghiaurov;Berliner Philharmoniker;Herbert von Karajan,25
Giacomo Puccini;Nicolai Ghiaurov;Gianni Maffeo;Berliner Philharmoniker;Herbert von Karajan,25
Giuseppe Verdi;Renato Cellini;RCA Victor Orchestra,25
Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,25
Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan,25
Giuseppe Verdi;Dame Joan Sutherland;Riccardo Cassinelli;John Gibbs;Christian Du Plessis;Ambrosian Opera Chorus;London Symphony Orchestra;Richard Bonynge,24
Jean-Philippe Rameau;Orfeo Orchestra;Gyorgy Vashegyi,24
Gioachino Rossini;Jesús López-Cobos;Orchestre de Chambre de Lausanne,24
Giuseppe Verdi;Salvatore Cordella;Anna Netrebko;Rolando Villazón;Wiener Philharmoniker;Carlo Rizzi,25
Giuseppe Verdi;Carlo Rizzi;Edita Gruberova;London Symphony Orchestra;Neil Shicoff,25
Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,25
"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Trumpeters of the Royal Military School of Music;New Philharmonia Orchestra",25
Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,25
Il Divo,58
Lara Fabian,53
Dimash Qudaibergen,50
Katherine Jenkins,39
Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,48
Andrea Bocelli;Alison Krauss,52
Il Divo,23
Il Volo,23
Sol3 Mio,23
Georges Bizet;Angela Gheorghiu;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,51
Secret Garden,54
Lisa Kelly,23
Georges Bizet;Orchestre de Paris;Semyon Bychkov,51
Jules Massenet;The New Symphony Orchestra Of London;Raymond Agoult,57
Josh Groban,23
Bernward Koch,23
Nana Mouskouri;Alain Goraguer Et Son Orchestre,22
Collabro,23
Celtic Woman,23
Il Volo,23
Giacomo Puccini;Mirella Freni;Orchestra del Maggio Musicale Fiorentino;Bruno Bartoletti,24
Phil Coulter,23
Celtic Woman,23
Andrea Bocelli,24
Jason Manford,23
Giuseppe Verdi;Luciano Pavarotti;Dame Joan Sutherland;National Philharmonic Orchestra;Richard Bonynge,24
Josh Groban,23
Celtic Thunder,23
El Cuervo de Poe,24
Sissel,23
Maria Callas,23
Celtic Thunder;George Donaldson,24
Jacques Offenbach;Raphaela Gromes;Wen-Sinn Yang;Julian Riem,25
Il Volo,23
Georges Bizet;Luciano Pavarotti;Nicolai Ghiaurov;National Philharmonic Orchestra;Robin Stapleton,24
Celtic Woman,23
Epica,25
Renée Fleming;Gregory Porter,22
George Perris,23
Celtic Thunder,24
Giacomo Puccini;Luciano Pavarotti;Orchestra del Teatro Arena di Verona;Armando Gatto,23
Georges Bizet;Thomas Hampson;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,24
Giacomo Puccini;Gianni Maffeo;Mirella Freni;Luciano Pavarotti;Elizabeth Harwood;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan,24
Jules Massenet;Renaud Capuçon,24
Gioachino Rossini;RIAS Kammerchor;Philip Mayers;Philip Moll;Ryoko Morooka;Marcus Creed,23
Giacomo Puccini;Rolando Panerai;Luciano Pavarotti;Berliner Philharmoniker;Herbert von Karajan,24
Giacomo Puccini;Renée Fleming;London Philharmonic Orchestra;Sir Charles Mackerras,24
Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,24
"Giuseppe Verdi;Riccardo Muti;Cheryl Studer;Coro Del Teatro Alla Scala Di Milano;Dolora Zajic;Luciano Pavarotti;Samuel Ramey;Orchestra Del Teatro Alla Scala, Milano",24
Giuseppe Verdi;Riccardo Muti;Montserrat Caballé;New Philharmonia Orchestra,24
Lim Hyung Joo,39
Andrea Bocelli;Kenny G,44
Léo Delibes;Slovak Radio Symphony Orchestra;Andrew Mogrelia,54
Patrizio Buanne,50
Órla Fallon,22
Therion,26
Il Volo,23
Danny Wright,53
Friedrich von Flotow;Luciano Pavarotti;New Philharmonia Orchestra;Richard Bonynge,23
Andrea Bocelli,22
Sarah Brightman,22
Alessandro Safina;Sarah Brightman,23
Aesma Daeva,24
Filippa Giordano,22
Josh Groban,23
Gioachino Rossini;Academy of St. Martin in the Fields;Sir Neville Marriner,51
Phil Coulter,23
Roberto Alagna;London Orchestra;Yvan Cassar;Avi Avital;Nemanja Radulović,22
Nightwish,57
Josh Groban,22
Alberto Urso,23
Josh Groban,23
Ruggero Leoncavallo;Andrea Bocelli;London Symphony Orchestra;Lorin Maazel,23
Michael Ball;The 2012 London Cast of Sweeney Todd,23
Alfredo Kraus,23
Collabro,22
Avantasia,25
Celtic Thunder;Damian McGinty,23
Francesco Nicola Fago;Jakub Józef Orliński;Maxim Emelyanychev;Il Pomo D'oro,22
The Tenors,23
Collabro,22
Collabro,22
Jules Massenet;Renaud Capuçon;Daniel Harding;Deutsche Kammerphilharmonie Bremen,24
Josh Groban,23
Epica,25
Jean-Philippe Rameau;Alexandre Tharaud,24
Sissel,23
Franz Lehár;Jonas Kaufmann;Jochen Rieder;Berlin Radio Symphony Orchestra,23
